ID;prefix;category;number;oldID;status;manufacture;model;serialnro;location;use;created;equipment Id;equipmentDesc;categoryDesc
18;VE;4;18;60.03.-;-;Tecstar;TAC30-3;3080165;-;-;1.1.2000;VE-04-0018;Power Supply;04. Test equipment, Electronics
19;VE;4;19;60.04.-;-;Kenwood;PAC30-2;3040018;-;-;1.1.2000;VE-04-0019;Power Supply;04. Test equipment, Electronics
20;VE;4;20;60.05.-;-;Protek;3003B;H002305;-;-;1.1.2000;VE-04-0020;Power Supply;04. Test equipment, Electronics
21;VE;4;21;60.06.-;-;Mascot;- ;- ;-;-;1.1.2000;VE-04-0021;Power Supply;04. Test equipment, Electronics
22;VE;4;22;70.01.-;-;LG Precision Co.;FG-7002C;8111696;-;-;1.1.2000;VE-04-0022;Function Generator;04. Test equipment, Electronics
23;VE;2;23;80.01.-;-;Hewlet Packard (HP);-;-;-;-;1.1.2000;VE-02-0023;Spectrum Analyzer;02. Measuring equipment, Electronics
24;VE;3;24;-;-;Greiner Vibrograf AG;Leak Checker 2000;xxx;PLASTONE;Production;1.1.2000;VE-03-0024;Leak Checker;03. Test equipment, Mechanics
25;VE;3;25;-;-;Greiner Vibrograf AG;Leak Checker Prime;xxx;MLB;Other;1.1.2000;VE-03-0025;Leak Checker;03. Test equipment, Mechanics
26;VE;3;26;-;-;Greiner Vibrograf AG;Leak Checker Prime;660918624;PLASTONE;Production;1.1.2000;VE-03-0026;Leak Checker;03. Test equipment, Mechanics
27;VE;4;27;-;Active;National Instruments;NI PCIe-6351;01DEE121;VE-10-0029;Production;1.1.2000;VE-04-0027;Interface Card;04. Test equipment, Electronics
28;VE;5;28;-;-;Vivago/Lenovo;Lenovo ThinkStation P330;S4JE4072;MLB;production;1.1.2000;VE-05-0028;Production Tester, MOVE & CARE #1;05. Production tester
29;VE;10;29;-;-;Datalogic;Ulyxe 6W@1064 F160S-M39;xxx;MLB;Production;1.1.2000;VE-10-0029;Laser printer;10. Laser Printer
30;VE;10;30;-;-;Datalogic;Ulyxe 6W@1064 F160S-M39;xxx;MLB;Production;1.1.2000;VE-10-0030;Laser printer;10. Laser Printer
31;VE;2;31;-;Active;Agilent;E4406A;US41513584;MLB;Production;1.1.2000;VE-02-0031;RF Tester;02. Measuring equipment, Electronics
32;VE;7;32;-;-;Elprotronic Inc;FlashPro430, USB-FPA 6.1;20130765;MLB;Production;1.1.2000;VE-07-0032;Flash programming adapter;07. Electronics programmer
33;VE;7;33;-;-;Elprotronic Inc;FlashPro-ARM, XS-ISO-1.1;20190335;MLB;Production;1.1.2000;VE-07-0033;Flash programming adapter;07. Electronics programmer
34;VE;9;34;-;-;Symbol Technologies Inc.;DS4308;1,516E+13;Vivago;R&D;1.1.2000;VE-09-0034;Bar code reader, USB, handheld;09. Bar code reader
35;VE;8;35;-;Active;Vivago;MOVE Production tester;NA;MLB;Production;1.1.2000;VE-08-0035;MOVE PCBA Test Jig #1;08.  Test fixture
36;VE;8;36;-;Active;Vivago;MOVE Production tester;NA;MLB;Production;1.1.2000;VE-08-0036;MOVE PCBA Test Jig #2;08.  Test fixture
37;VE;9;37;-;-;Symbol Technologies Inc.;DS4308;1,8337E+13;-;Production;1.1.2000;VE-09-0037;Bar code reader, USB, handheld;09. Bar code reader
